,Winter,Spring,Summer,Fall,period,rcp,zone
MRI-CGCM3,10.456885649309521,20.17720585880283,27.72022978936682,19.872050295371164,1971-2000,rcp85,Recharge Zone
NorESM1-M,10.444875765125921,19.78798654598539,27.71830133733421,19.864675577557236,1971-2000,rcp85,Recharge Zone
bcc-csm1-1-m,10.514067224933084,19.970185579379887,27.77642200510886,20.022654149423328,1950-2005,rcp85,Recharge Zone
bcc-csm1-1,10.533150275122624,19.978046623099598,27.763479539648095,20.0070550730008,1950-2005,rcp85,Recharge Zone
BNU-ESM,10.509154655680117,19.989052865729274,27.774682118008805,20.006955949348164,1950-2005,rcp85,Recharge Zone
CanESM2,10.51946616133634,19.97656174312696,27.777784081436216,20.01252243677547,1950-2005,rcp85,Recharge Zone
CCSM4,10.551328465392245,19.96817462277958,27.796216880722653,19.954066423618507,1950-2005,rcp85,Recharge Zone
CNRM-CM5,10.546030999307513,19.98091286899841,27.7757654742113,19.978697741738568,1950-2005,rcp85,Recharge Zone
CSIRO-Mk3-6-0,10.524573318345444,19.98434593149267,27.777896490791626,19.993887036781054,1950-2005,rcp85,Recharge Zone
GFDL-ESM2G,10.583099064445548,19.976612445647415,27.781272738088692,19.929081223604076,1950-2005,rcp85,Recharge Zone
GFDL-ESM2M,10.560767657851553,19.968959752289397,27.792591477616647,19.95242021205544,1950-2005,rcp85,Recharge Zone
HadGEM2-CC365,10.487012792710841,20.006975951616198,27.772804321835594,20.023627249762065,1950-2005,rcp85,Recharge Zone
HadGEM2-ES365,10.513858932559705,19.99810769894282,27.76135861015273,20.013170791825875,1950-2005,rcp85,Recharge Zone
inmcm4,10.598794784490726,19.97070212546775,27.762716541469757,19.947862492836492,1950-2005,rcp85,Recharge Zone
IPSL-CM5A-LR,10.528535621680735,19.977912237104015,27.777193929305042,19.99627488328773,1950-2005,rcp85,Recharge Zone
IPSL-CM5A-MR,10.505640684849865,19.97724398528893,27.78091299768439,20.001518697544572,1950-2005,rcp85,Recharge Zone
IPSL-CM5B-LR,10.544931449555106,19.979076403386653,27.768801023136685,19.986241098453092,1950-2005,rcp85,Recharge Zone
MIROC-ESM-CHEM,10.562916543543208,19.98233653181006,27.775544761076013,19.96128000841245,1950-2005,rcp85,Recharge Zone
MIROC-ESM,10.550564720593822,19.977069913338482,27.77544017148013,19.96044220941486,1950-2005,rcp85,Recharge Zone
MIROC5,10.52765178037601,19.973957999028475,27.76945860392791,20.023584434674806,1950-2005,rcp85,Recharge Zone
MRI-CGCM3,10.551376548084244,19.987803873583733,27.769836670803976,19.9663935054814,1950-2005,rcp85,Recharge Zone
NorESM1-M,10.496671901867549,19.96962792154741,27.798817738672945,19.997460540237274,1950-2005,rcp85,Recharge Zone
bcc-csm1-1-m,11.596421362710618,21.217824687810594,28.93135523096224,21.12477881281135,2010-2039,rcp85,Recharge Zone
bcc-csm1-1,11.701111727061317,20.953841919995128,28.75743075058667,21.45675261519776,2010-2039,rcp85,Recharge Zone
BNU-ESM,11.479429958630412,21.664032284845177,29.75017861630368,22.13893338928715,2010-2039,rcp85,Recharge Zone
CanESM2,11.835774224047526,21.664780358962137,29.732972349964783,21.897897472573007,2010-2039,rcp85,Recharge Zone
CCSM4,12.282654420308756,21.142890716239332,29.118470342710555,21.319054002303726,2010-2039,rcp85,Recharge Zone
