macamodel,rcp,zone,period,season,seasonal mean T (oC)
GFDL-ESM2M,rcp85,Recharge Zone,2070-2099,Winter,13.603606310311912
HadGEM2-CC365,rcp85,Recharge Zone,2070-2099,Winter,16.146893178360024
HadGEM2-ES365,rcp85,Recharge Zone,2070-2099,Winter,15.67995643079785
inmcm4,rcp85,Recharge Zone,2070-2099,Winter,14.155549930351572
IPSL-CM5A-LR,rcp85,Recharge Zone,2070-2099,Winter,16.21669105634762
IPSL-CM5A-MR,rcp85,Recharge Zone,2070-2099,Winter,16.821220925994204
IPSL-CM5B-LR,rcp85,Recharge Zone,2070-2099,Winter,14.206316253912377
MIROC-ESM-CHEM,rcp85,Recharge Zone,2070-2099,Winter,15.818789976860433
MIROC-ESM,rcp85,Recharge Zone,2070-2099,Winter,14.974531854773208
MIROC5,rcp85,Recharge Zone,2070-2099,Winter,15.11222765470002
MRI-CGCM3,rcp85,Recharge Zone,2070-2099,Winter,14.058617066455863
NorESM1-M,rcp85,Recharge Zone,2070-2099,Winter,15.604951843320716
bcc-csm1-1-m,rcp45,Contributing Zone,1971-2000,Winter,9.558143028379702
bcc-csm1-1,rcp45,Contributing Zone,1971-2000,Winter,9.200459820320889
BNU-ESM,rcp45,Contributing Zone,1971-2000,Winter,9.729962312296419
CanESM2,rcp45,Contributing Zone,1971-2000,Winter,9.537024016551081
CCSM4,rcp45,Contributing Zone,1971-2000,Winter,9.731794411243197
CNRM-CM5,rcp45,Contributing Zone,1971-2000,Winter,9.425678681879782
CSIRO-Mk3-6-0,rcp45,Contributing Zone,1971-2000,Winter,9.021256760803679
GFDL-ESM2G,rcp45,Contributing Zone,1971-2000,Winter,9.46482066218435
GFDL-ESM2M,rcp45,Contributing Zone,1971-2000,Winter,9.461881666760663
HadGEM2-CC365,rcp45,Contributing Zone,1971-2000,Winter,9.194834803859754
HadGEM2-ES365,rcp45,Contributing Zone,1971-2000,Winter,9.10926764339945
inmcm4,rcp45,Contributing Zone,1971-2000,Winter,9.477260438608562
IPSL-CM5A-LR,rcp45,Contributing Zone,1971-2000,Winter,9.680826699514876
IPSL-CM5A-MR,rcp45,Contributing Zone,1971-2000,Winter,9.505142614814183
IPSL-CM5B-LR,rcp45,Contributing Zone,1971-2000,Winter,9.443536957130652
MIROC-ESM-CHEM,rcp45,Contributing Zone,1971-2000,Winter,9.417653978635899
MIROC-ESM,rcp45,Contributing Zone,1971-2000,Winter,9.607786358017915
MIROC5,rcp45,Contributing Zone,1971-2000,Winter,9.558772710046448
MRI-CGCM3,rcp45,Contributing Zone,1971-2000,Winter,9.380099528517304
NorESM1-M,rcp45,Contributing Zone,1971-2000,Winter,9.350540144804278
bcc-csm1-1-m,rcp45,Contributing Zone,1950-2005,Winter,9.425581571591593
bcc-csm1-1,rcp45,Contributing Zone,1950-2005,Winter,9.446868911305263
BNU-ESM,rcp45,Contributing Zone,1950-2005,Winter,9.420700286070055
CanESM2,rcp45,Contributing Zone,1950-2005,Winter,9.434839726368542
CCSM4,rcp45,Contributing Zone,1950-2005,Winter,9.464241245615556
CNRM-CM5,rcp45,Contributing Zone,1950-2005,Winter,9.45688534518809
CSIRO-Mk3-6-0,rcp45,Contributing Zone,1950-2005,Winter,9.438654246098622
GFDL-ESM2G,rcp45,Contributing Zone,1950-2005,Winter,9.500150981390126
GFDL-ESM2M,rcp45,Contributing Zone,1950-2005,Winter,9.475133868364228
HadGEM2-CC365,rcp45,Contributing Zone,1950-2005,Winter,9.397360979081686
HadGEM2-ES365,rcp45,Contributing Zone,1950-2005,Winter,9.42749707993991
inmcm4,rcp45,Contributing Zone,1950-2005,Winter,9.508985262755107
IPSL-CM5A-LR,rcp45,Contributing Zone,1950-2005,Winter,9.441457977551556
IPSL-CM5A-MR,rcp45,Contributing Zone,1950-2005,Winter,9.41615973030859
IPSL-CM5B-LR,rcp45,Contributing Zone,1950-2005,Winter,9.456430077709612
