macamodel,rcp,zone,period,season,seasonal mean T (oC)
MIROC-ESM-CHEM,rcp45,Contributing Zone,1971-2000,Summer,26.858417030213484
MIROC-ESM,rcp45,Contributing Zone,1971-2000,Summer,26.711027953083576
MIROC5,rcp45,Contributing Zone,1971-2000,Summer,26.895262364466884
MRI-CGCM3,rcp45,Contributing Zone,1971-2000,Summer,26.783397581297983
NorESM1-M,rcp45,Contributing Zone,1971-2000,Summer,26.7740785388181
bcc-csm1-1-m,rcp45,Contributing Zone,1950-2005,Summer,26.830731906185182
bcc-csm1-1,rcp45,Contributing Zone,1950-2005,Summer,26.82051749383847
BNU-ESM,rcp45,Contributing Zone,1950-2005,Summer,26.831814172608514
CanESM2,rcp45,Contributing Zone,1950-2005,Summer,26.835666699477034
CCSM4,rcp45,Contributing Zone,1950-2005,Summer,26.851695270039244
CNRM-CM5,rcp45,Contributing Zone,1950-2005,Summer,26.832451722944114
CSIRO-Mk3-6-0,rcp45,Contributing Zone,1950-2005,Summer,26.83434556868566
GFDL-ESM2G,rcp45,Contributing Zone,1950-2005,Summer,26.838791062277984
GFDL-ESM2M,rcp45,Contributing Zone,1950-2005,Summer,26.848172216907265
HadGEM2-CC365,rcp45,Contributing Zone,1950-2005,Summer,26.828838879607662
HadGEM2-ES365,rcp45,Contributing Zone,1950-2005,Summer,26.81767683859028
inmcm4,rcp45,Contributing Zone,1950-2005,Summer,26.81878746070614
IPSL-CM5A-LR,rcp45,Contributing Zone,1950-2005,Summer,26.83239226940449
IPSL-CM5A-MR,rcp45,Contributing Zone,1950-2005,Summer,26.835580575134237
IPSL-CM5B-LR,rcp45,Contributing Zone,1950-2005,Summer,26.825379235819486
MIROC-ESM-CHEM,rcp45,Contributing Zone,1950-2005,Summer,26.832940123667154
MIROC-ESM,rcp45,Contributing Zone,1950-2005,Summer,26.833134743397057
MIROC5,rcp45,Contributing Zone,1950-2005,Summer,26.827756339766104
MRI-CGCM3,rcp45,Contributing Zone,1950-2005,Summer,26.824397815811416
NorESM1-M,rcp45,Contributing Zone,1950-2005,Summer,26.854702373567513
bcc-csm1-1-m,rcp45,Contributing Zone,2010-2039,Summer,28.042223187474928
bcc-csm1-1,rcp45,Contributing Zone,2010-2039,Summer,28.62105570393284
BNU-ESM,rcp45,Contributing Zone,2010-2039,Summer,28.812774285011542
CanESM2,rcp45,Contributing Zone,2010-2039,Summer,28.917862424063628
CCSM4,rcp45,Contributing Zone,2010-2039,Summer,28.035995186642307
CNRM-CM5,rcp45,Contributing Zone,2010-2039,Summer,27.58659219316045
CSIRO-Mk3-6-0,rcp45,Contributing Zone,2010-2039,Summer,28.183568214797607
GFDL-ESM2G,rcp45,Contributing Zone,2010-2039,Summer,28.723738314418235
GFDL-ESM2M,rcp45,Contributing Zone,2010-2039,Summer,27.89066867986799
HadGEM2-CC365,rcp45,Contributing Zone,2010-2039,Summer,28.2123936917563
HadGEM2-ES365,rcp45,Contributing Zone,2010-2039,Summer,28.49386665792536
inmcm4,rcp45,Contributing Zone,2010-2039,Summer,27.219770377128704
IPSL-CM5A-LR,rcp45,Contributing Zone,2010-2039,Summer,28.975668139208537
IPSL-CM5A-MR,rcp45,Contributing Zone,2010-2039,Summer,28.4768574079235
IPSL-CM5B-LR,rcp45,Contributing Zone,2010-2039,Summer,27.81604402212739
MIROC-ESM-CHEM,rcp45,Contributing Zone,2010-2039,Summer,28.77171547273523
MIROC-ESM,rcp45,Contributing Zone,2010-2039,Summer,27.734826051752115
MIROC5,rcp45,Contributing Zone,2010-2039,Summer,28.486995321887214
MRI-CGCM3,rcp45,Contributing Zone,2010-2039,Summer,27.39017707089017
NorESM1-M,rcp45,Contributing Zone,2010-2039,Summer,27.977136071315105
bcc-csm1-1-m,rcp45,Contributing Zone,2040-2069,Summer,28.368564615478714
bcc-csm1-1,rcp45,Contributing Zone,2040-2069,Summer,29.17622632597276
BNU-ESM,rcp45,Contributing Zone,2040-2069,Summer,29.832635499078705
CanESM2,rcp45,Contributing Zone,2040-2069,Summer,29.829980576692673
CCSM4,rcp45,Contributing Zone,2040-2069,Summer,28.789240680494927
CNRM-CM5,rcp45,Contributing Zone,2040-2069,Summer,28.3047014938625
CSIRO-Mk3-6-0,rcp45,Contributing Zone,2040-2069,Summer,29.47236119183881
GFDL-ESM2G,rcp45,Contributing Zone,2040-2069,Summer,29.383457012143303
GFDL-ESM2M,rcp45,Contributing Zone,2040-2069,Summer,28.823773691407737
HadGEM2-CC365,rcp45,Contributing Zone,2040-2069,Summer,29.254681690099662
HadGEM2-ES365,rcp45,Contributing Zone,2040-2069,Summer,29.3574385162005
inmcm4,rcp45,Contributing Zone,2040-2069,Summer,27.53917082830436
IPSL-CM5A-LR,rcp45,Contributing Zone,2040-2069,Summer,29.96425004867781
IPSL-CM5A-MR,rcp45,Contributing Zone,2040-2069,Summer,30.234464859926856
IPSL-CM5B-LR,rcp45,Contributing Zone,2040-2069,Summer,28.524498977276497
MIROC-ESM-CHEM,rcp45,Contributing Zone,2040-2069,Summer,29.728942998435755
MIROC-ESM,rcp45,Contributing Zone,2040-2069,Summer,29.103884146227976
MIROC5,rcp45,Contributing Zone,2040-2069,Summer,29.222984244008455
MRI-CGCM3,rcp45,Contributing Zone,2040-2069,Summer,28.464659056569257
NorESM1-M,rcp45,Contributing Zone,2040-2069,Summer,29.54951367396079
bcc-csm1-1-m,rcp45,Contributing Zone,2070-2099,Summer,28.887421979344527
bcc-csm1-1,rcp45,Contributing Zone,2070-2099,Summer,29.237752324186797
BNU-ESM,rcp45,Contributing Zone,2070-2099,Summer,30.52761038558427
CanESM2,rcp45,Contributing Zone,2070-2099,Summer,30.133394961934513
CCSM4,rcp45,Contributing Zone,2070-2099,Summer,29.25280211876611
CNRM-CM5,rcp45,Contributing Zone,2070-2099,Summer,28.61390560817354
CSIRO-Mk3-6-0,rcp45,Contributing Zone,2070-2099,Summer,30.227472394281257
GFDL-ESM2G,rcp45,Contributing Zone,2070-2099,Summer,29.84974621914055
GFDL-ESM2M,rcp45,Contributing Zone,2070-2099,Summer,28.974460270930805
HadGEM2-CC365,rcp45,Contributing Zone,2070-2099,Summer,29.675295869219994
HadGEM2-ES365,rcp45,Contributing Zone,2070-2099,Summer,29.639508031180355
inmcm4,rcp45,Contributing Zone,2070-2099,Summer,27.759645870875374
IPSL-CM5A-LR,rcp45,Contributing Zone,2070-2099,Summer,30.44050076415526
IPSL-CM5A-MR,rcp45,Contributing Zone,2070-2099,Summer,30.548731770106816
IPSL-CM5B-LR,rcp45,Contributing Zone,2070-2099,Summer,28.841552550989697
MIROC-ESM-CHEM,rcp45,Contributing Zone,2070-2099,Summer,30.171510825024345
MIROC-ESM,rcp45,Contributing Zone,2070-2099,Summer,30.001167344385347
MIROC5,rcp45,Contributing Zone,2070-2099,Summer,29.730391195282646
MRI-CGCM3,rcp45,Contributing Zone,2070-2099,Summer,28.759660032276578
NorESM1-M,rcp45,Contributing Zone,2070-2099,Summer,29.413945739619916
bcc-csm1-1-m,rcp85,Contributing Zone,1971-2000,Summer,26.803662901441086
bcc-csm1-1,rcp85,Contributing Zone,1971-2000,Summer,26.847287180597146
BNU-ESM,rcp85,Contributing Zone,1971-2000,Summer,26.96412373704444
CanESM2,rcp85,Contributing Zone,1971-2000,Summer,26.831350059790136
CCSM4,rcp85,Contributing Zone,1971-2000,Summer,26.93977905445322
CNRM-CM5,rcp85,Contributing Zone,1971-2000,Summer,26.893241070896337
CSIRO-Mk3-6-0,rcp85,Contributing Zone,1971-2000,Summer,26.734239893807064
GFDL-ESM2G,rcp85,Contributing Zone,1971-2000,Summer,27.10785632911234
GFDL-ESM2M,rcp85,Contributing Zone,1971-2000,Summer,26.7165006828339
HadGEM2-CC365,rcp85,Contributing Zone,1971-2000,Summer,26.653144060462655
HadGEM2-ES365,rcp85,Contributing Zone,1971-2000,Summer,26.5574634115447
inmcm4,rcp85,Contributing Zone,1971-2000,Summer,26.932943359166906
IPSL-CM5A-LR,rcp85,Contributing Zone,1971-2000,Summer,27.10159692802476
IPSL-CM5A-MR,rcp85,Contributing Zone,1971-2000,Summer,26.916557143803992
IPSL-CM5B-LR,rcp85,Contributing Zone,1971-2000,Summer,26.993053485828156
MIROC-ESM-CHEM,rcp85,Contributing Zone,1971-2000,Summer,26.858417030213484
MIROC-ESM,rcp85,Contributing Zone,1971-2000,Summer,26.711027953083576
MIROC5,rcp85,Contributing Zone,1971-2000,Summer,26.895262364466884
MRI-CGCM3,rcp85,Contributing Zone,1971-2000,Summer,26.783397581297983
NorESM1-M,rcp85,Contributing Zone,1971-2000,Summer,26.7740785388181
bcc-csm1-1-m,rcp85,Contributing Zone,1950-2005,Summer,26.830731906185182
bcc-csm1-1,rcp85,Contributing Zone,1950-2005,Summer,26.82051749383847
BNU-ESM,rcp85,Contributing Zone,1950-2005,Summer,26.831814172608514
CanESM2,rcp85,Contributing Zone,1950-2005,Summer,26.835666699477034
CCSM4,rcp85,Contributing Zone,1950-2005,Summer,26.851695270039244
CNRM-CM5,rcp85,Contributing Zone,1950-2005,Summer,26.832451722944114
CSIRO-Mk3-6-0,rcp85,Contributing Zone,1950-2005,Summer,26.83434556868566
GFDL-ESM2G,rcp85,Contributing Zone,1950-2005,Summer,26.838791062277984
GFDL-ESM2M,rcp85,Contributing Zone,1950-2005,Summer,26.848172216907265
HadGEM2-CC365,rcp85,Contributing Zone,1950-2005,Summer,26.828838879607662
HadGEM2-ES365,rcp85,Contributing Zone,1950-2005,Summer,26.81767683859028
inmcm4,rcp85,Contributing Zone,1950-2005,Summer,26.81878746070614
IPSL-CM5A-LR,rcp85,Contributing Zone,1950-2005,Summer,26.83239226940449
IPSL-CM5A-MR,rcp85,Contributing Zone,1950-2005,Summer,26.835580575134237
IPSL-CM5B-LR,rcp85,Contributing Zone,1950-2005,Summer,26.825379235819486
MIROC-ESM-CHEM,rcp85,Contributing Zone,1950-2005,Summer,26.832940123667154
MIROC-ESM,rcp85,Contributing Zone,1950-2005,Summer,26.833134743397057
MIROC5,rcp85,Contributing Zone,1950-2005,Summer,26.827756339766104
MRI-CGCM3,rcp85,Contributing Zone,1950-2005,Summer,26.824397815811416
NorESM1-M,rcp85,Contributing Zone,1950-2005,Summer,26.854702373567513
bcc-csm1-1-m,rcp85,Contributing Zone,2010-2039,Summer,28.02107445965835
bcc-csm1-1,rcp85,Contributing Zone,2010-2039,Summer,27.826311182623293
BNU-ESM,rcp85,Contributing Zone,2010-2039,Summer,28.828331859242034
CanESM2,rcp85,Contributing Zone,2010-2039,Summer,28.7884984512114
CCSM4,rcp85,Contributing Zone,2010-2039,Summer,28.189403365475638
CNRM-CM5,rcp85,Contributing Zone,2010-2039,Summer,27.723712401306866
CSIRO-Mk3-6-0,rcp85,Contributing Zone,2010-2039,Summer,28.548740642265596
GFDL-ESM2G,rcp85,Contributing Zone,2010-2039,Summer,28.578522729848896
GFDL-ESM2M,rcp85,Contributing Zone,2010-2039,Summer,27.82988225815199
HadGEM2-CC365,rcp85,Contributing Zone,2010-2039,Summer,28.796692759515473
HadGEM2-ES365,rcp85,Contributing Zone,2010-2039,Summer,29.00740315198244
inmcm4,rcp85,Contributing Zone,2010-2039,Summer,27.31380333250811
IPSL-CM5A-LR,rcp85,Contributing Zone,2010-2039,Summer,28.693141145139148
IPSL-CM5A-MR,rcp85,Contributing Zone,2010-2039,Summer,29.09087238935204
IPSL-CM5B-LR,rcp85,Contributing Zone,2010-2039,Summer,27.94744663935388
MIROC-ESM-CHEM,rcp85,Contributing Zone,2010-2039,Summer,28.09399439083991
MIROC-ESM,rcp85,Contributing Zone,2010-2039,Summer,27.843697427080045
MIROC5,rcp85,Contributing Zone,2010-2039,Summer,28.534361769875268
MRI-CGCM3,rcp85,Contributing Zone,2010-2039,Summer,28.0375833544877
NorESM1-M,rcp85,Contributing Zone,2010-2039,Summer,28.590460413783912
bcc-csm1-1-m,rcp85,Contributing Zone,2040-2069,Summer,29.296273180094616
bcc-csm1-1,rcp85,Contributing Zone,2040-2069,Summer,29.72990429890259
BNU-ESM,rcp85,Contributing Zone,2040-2069,Summer,30.57350070713401
CanESM2,rcp85,Contributing Zone,2040-2069,Summer,30.717210551635105
CCSM4,rcp85,Contributing Zone,2040-2069,Summer,29.5876931201801
CNRM-CM5,rcp85,Contributing Zone,2040-2069,Summer,28.917828310433702
CSIRO-Mk3-6-0,rcp85,Contributing Zone,2040-2069,Summer,30.177432616611878
GFDL-ESM2G,rcp85,Contributing Zone,2040-2069,Summer,30.01433925971132
GFDL-ESM2M,rcp85,Contributing Zone,2040-2069,Summer,29.36125745955857
HadGEM2-CC365,rcp85,Contributing Zone,2040-2069,Summer,29.812874558453753
HadGEM2-ES365,rcp85,Contributing Zone,2040-2069,Summer,30.655080257319355
inmcm4,rcp85,Contributing Zone,2040-2069,Summer,28.36750826884063
IPSL-CM5A-LR,rcp85,Contributing Zone,2040-2069,Summer,30.657752663248743
IPSL-CM5A-MR,rcp85,Contributing Zone,2040-2069,Summer,30.82501647097516
IPSL-CM5B-LR,rcp85,Contributing Zone,2040-2069,Summer,29.295607046826554
MIROC-ESM-CHEM,rcp85,Contributing Zone,2040-2069,Summer,30.247579072166218
MIROC-ESM,rcp85,Contributing Zone,2040-2069,Summer,29.523448436859677
MIROC5,rcp85,Contributing Zone,2040-2069,Summer,29.93341518202469
MRI-CGCM3,rcp85,Contributing Zone,2040-2069,Summer,29.24994802969001
NorESM1-M,rcp85,Contributing Zone,2040-2069,Summer,30.118392273484126
bcc-csm1-1-m,rcp85,Contributing Zone,2070-2099,Summer,31.078246225588465
bcc-csm1-1,rcp85,Contributing Zone,2070-2099,Summer,31.667726489741252
BNU-ESM,rcp85,Contributing Zone,2070-2099,Summer,32.12596480740497
CanESM2,rcp85,Contributing Zone,2070-2099,Summer,32.62096301098671
CCSM4,rcp85,Contributing Zone,2070-2099,Summer,30.785572897917216
CNRM-CM5,rcp85,Contributing Zone,2070-2099,Summer,30.515410333849438
CSIRO-Mk3-6-0,rcp85,Contributing Zone,2070-2099,Summer,32.34115748716085
GFDL-ESM2G,rcp85,Contributing Zone,2070-2099,Summer,31.73418169426527
GFDL-ESM2M,rcp85,Contributing Zone,2070-2099,Summer,31.319189762555297
HadGEM2-CC365,rcp85,Contributing Zone,2070-2099,Summer,32.17947408807107
HadGEM2-ES365,rcp85,Contributing Zone,2070-2099,Summer,32.05718727611625
inmcm4,rcp85,Contributing Zone,2070-2099,Summer,29.941014103789946
IPSL-CM5A-LR,rcp85,Contributing Zone,2070-2099,Summer,33.4332190403183
IPSL-CM5A-MR,rcp85,Contributing Zone,2070-2099,Summer,33.5533803276959
IPSL-CM5B-LR,rcp85,Contributing Zone,2070-2099,Summer,30.779410508530745
MIROC-ESM-CHEM,rcp85,Contributing Zone,2070-2099,Summer,32.87043882365224
MIROC-ESM,rcp85,Contributing Zone,2070-2099,Summer,32.590782380283066
MIROC5,rcp85,Contributing Zone,2070-2099,Summer,31.89461825109684
MRI-CGCM3,rcp85,Contributing Zone,2070-2099,Summer,31.284794417045422
NorESM1-M,rcp85,Contributing Zone,2070-2099,Summer,31.1091240191775
bcc-csm1-1-m,rcp45,Recharge Zone,1971-2000,Fall,20.040676371767333
bcc-csm1-1,rcp45,Recharge Zone,1971-2000,Fall,20.17633047668109
BNU-ESM,rcp45,Recharge Zone,1971-2000,Fall,20.1043711662133
CanESM2,rcp45,Recharge Zone,1971-2000,Fall,20.075345454256674
CCSM4,rcp45,Recharge Zone,1971-2000,Fall,20.147391041852796
CNRM-CM5,rcp45,Recharge Zone,1971-2000,Fall,20.081203599656916
CSIRO-Mk3-6-0,rcp45,Recharge Zone,1971-2000,Fall,19.906419069527956
GFDL-ESM2G,rcp45,Recharge Zone,1971-2000,Fall,20.02697282912726
GFDL-ESM2M,rcp45,Recharge Zone,1971-2000,Fall,19.930529298811408
HadGEM2-CC365,rcp45,Recharge Zone,1971-2000,Fall,19.86604044906721
HadGEM2-ES365,rcp45,Recharge Zone,1971-2000,Fall,19.78781401740345
inmcm4,rcp45,Recharge Zone,1971-2000,Fall,20.013627214499305
IPSL-CM5A-LR,rcp45,Recharge Zone,1971-2000,Fall,20.23196615629081
IPSL-CM5A-MR,rcp45,Recharge Zone,1971-2000,Fall,20.07154109061364
IPSL-CM5B-LR,rcp45,Recharge Zone,1971-2000,Fall,19.894575516055525
MIROC-ESM-CHEM,rcp45,Recharge Zone,1971-2000,Fall,20.113158537836618
MIROC-ESM,rcp45,Recharge Zone,1971-2000,Fall,19.871115286067493
MIROC5,rcp45,Recharge Zone,1971-2000,Fall,20.28561972425943
MRI-CGCM3,rcp45,Recharge Zone,1971-2000,Fall,19.872050295371164
NorESM1-M,rcp45,Recharge Zone,1971-2000,Fall,19.864675577557236
bcc-csm1-1-m,rcp45,Recharge Zone,1950-2005,Fall,20.022654149423328
bcc-csm1-1,rcp45,Recharge Zone,1950-2005,Fall,20.0070550730008
BNU-ESM,rcp45,Recharge Zone,1950-2005,Fall,20.006955949348164
CanESM2,rcp45,Recharge Zone,1950-2005,Fall,20.01252243677547
CCSM4,rcp45,Recharge Zone,1950-2005,Fall,19.954066423618507
CNRM-CM5,rcp45,Recharge Zone,1950-2005,Fall,19.978697741738568
CSIRO-Mk3-6-0,rcp45,Recharge Zone,1950-2005,Fall,19.993887036781054
GFDL-ESM2G,rcp45,Recharge Zone,1950-2005,Fall,19.929081223604076
GFDL-ESM2M,rcp45,Recharge Zone,1950-2005,Fall,19.95242021205544
HadGEM2-CC365,rcp45,Recharge Zone,1950-2005,Fall,20.023627249762065
HadGEM2-ES365,rcp45,Recharge Zone,1950-2005,Fall,20.013170791825875
inmcm4,rcp45,Recharge Zone,1950-2005,Fall,19.947862492836492
IPSL-CM5A-LR,rcp45,Recharge Zone,1950-2005,Fall,19.99627488328773
IPSL-CM5A-MR,rcp45,Recharge Zone,1950-2005,Fall,20.001518697544572
IPSL-CM5B-LR,rcp45,Recharge Zone,1950-2005,Fall,19.986241098453092
MIROC-ESM-CHEM,rcp45,Recharge Zone,1950-2005,Fall,19.96128000841245
MIROC-ESM,rcp45,Recharge Zone,1950-2005,Fall,19.96044220941486
MIROC5,rcp45,Recharge Zone,1950-2005,Fall,20.023584434674806
MRI-CGCM3,rcp45,Recharge Zone,1950-2005,Fall,19.9663935054814
NorESM1-M,rcp45,Recharge Zone,1950-2005,Fall,19.997460540237274
bcc-csm1-1-m,rcp45,Recharge Zone,2010-2039,Fall,20.99095969873482
bcc-csm1-1,rcp45,Recharge Zone,2010-2039,Fall,20.81660077423034
BNU-ESM,rcp45,Recharge Zone,2010-2039,Fall,21.900536041175766
CanESM2,rcp45,Recharge Zone,2010-2039,Fall,22.168164096685384
CCSM4,rcp45,Recharge Zone,2010-2039,Fall,21.406093138093954
CNRM-CM5,rcp45,Recharge Zone,2010-2039,Fall,21.08788051876362
CSIRO-Mk3-6-0,rcp45,Recharge Zone,2010-2039,Fall,21.47113556548727
GFDL-ESM2G,rcp45,Recharge Zone,2010-2039,Fall,21.517091240633555
GFDL-ESM2M,rcp45,Recharge Zone,2010-2039,Fall,21.09609649901666
HadGEM2-CC365,rcp45,Recharge Zone,2010-2039,Fall,22.208163152829112
HadGEM2-ES365,rcp45,Recharge Zone,2010-2039,Fall,21.809168608672636
inmcm4,rcp45,Recharge Zone,2010-2039,Fall,20.614526587470532
IPSL-CM5A-LR,rcp45,Recharge Zone,2010-2039,Fall,22.0743101161505
IPSL-CM5A-MR,rcp45,Recharge Zone,2010-2039,Fall,21.39113211321879
IPSL-CM5B-LR,rcp45,Recharge Zone,2010-2039,Fall,21.093562432873835
MIROC-ESM-CHEM,rcp45,Recharge Zone,2010-2039,Fall,21.496460623848932
MIROC-ESM,rcp45,Recharge Zone,2010-2039,Fall,20.918868638351277
MIROC5,rcp45,Recharge Zone,2010-2039,Fall,21.76608867643907
MRI-CGCM3,rcp45,Recharge Zone,2010-2039,Fall,20.31212609382105
NorESM1-M,rcp45,Recharge Zone,2010-2039,Fall,21.319937250883825
bcc-csm1-1-m,rcp45,Recharge Zone,2040-2069,Fall,21.78573376027329
bcc-csm1-1,rcp45,Recharge Zone,2040-2069,Fall,21.96642060821618
BNU-ESM,rcp45,Recharge Zone,2040-2069,Fall,23.32424015539322
CanESM2,rcp45,Recharge Zone,2040-2069,Fall,22.9264296718286
CCSM4,rcp45,Recharge Zone,2040-2069,Fall,22.080095865282022
CNRM-CM5,rcp45,Recharge Zone,2040-2069,Fall,21.7346735999602
CSIRO-Mk3-6-0,rcp45,Recharge Zone,2040-2069,Fall,22.15653740536718
GFDL-ESM2G,rcp45,Recharge Zone,2040-2069,Fall,22.26814509184208
GFDL-ESM2M,rcp45,Recharge Zone,2040-2069,Fall,21.650229835615626
HadGEM2-CC365,rcp45,Recharge Zone,2040-2069,Fall,23.025499861143302
HadGEM2-ES365,rcp45,Recharge Zone,2040-2069,Fall,23.074076921646306
inmcm4,rcp45,Recharge Zone,2040-2069,Fall,21.09453541613825
IPSL-CM5A-LR,rcp45,Recharge Zone,2040-2069,Fall,22.846755151793666
IPSL-CM5A-MR,rcp45,Recharge Zone,2040-2069,Fall,23.004367066210246
IPSL-CM5B-LR,rcp45,Recharge Zone,2040-2069,Fall,21.94130490183197
MIROC-ESM-CHEM,rcp45,Recharge Zone,2040-2069,Fall,22.55437590476981
MIROC-ESM,rcp45,Recharge Zone,2040-2069,Fall,22.251533114842406
MIROC5,rcp45,Recharge Zone,2040-2069,Fall,22.596818078859208
MRI-CGCM3,rcp45,Recharge Zone,2040-2069,Fall,20.881472098140517
NorESM1-M,rcp45,Recharge Zone,2040-2069,Fall,22.516409640382346
bcc-csm1-1-m,rcp45,Recharge Zone,2070-2099,Fall,22.105955267882887
bcc-csm1-1,rcp45,Recharge Zone,2070-2099,Fall,22.35701174340902
BNU-ESM,rcp45,Recharge Zone,2070-2099,Fall,23.84978825601204
CanESM2,rcp45,Recharge Zone,2070-2099,Fall,23.673796096005287
CCSM4,rcp45,Recharge Zone,2070-2099,Fall,22.498860171892932
CNRM-CM5,rcp45,Recharge Zone,2070-2099,Fall,22.026579119480466
CSIRO-Mk3-6-0,rcp45,Recharge Zone,2070-2099,Fall,22.94367815786848
GFDL-ESM2G,rcp45,Recharge Zone,2070-2099,Fall,22.308070698618405
GFDL-ESM2M,rcp45,Recharge Zone,2070-2099,Fall,21.94324869110685
HadGEM2-CC365,rcp45,Recharge Zone,2070-2099,Fall,24.186754842670734
HadGEM2-ES365,rcp45,Recharge Zone,2070-2099,Fall,23.293470527638426
inmcm4,rcp45,Recharge Zone,2070-2099,Fall,21.495812335995485
IPSL-CM5A-LR,rcp45,Recharge Zone,2070-2099,Fall,23.243861070618525
IPSL-CM5A-MR,rcp45,Recharge Zone,2070-2099,Fall,23.306087055791462
IPSL-CM5B-LR,rcp45,Recharge Zone,2070-2099,Fall,22.302906624078698
MIROC-ESM-CHEM,rcp45,Recharge Zone,2070-2099,Fall,23.502118741295245
MIROC-ESM,rcp45,Recharge Zone,2070-2099,Fall,22.747225316567132
MIROC5,rcp45,Recharge Zone,2070-2099,Fall,22.9644089735043
MRI-CGCM3,rcp45,Recharge Zone,2070-2099,Fall,21.15836688749505
NorESM1-M,rcp45,Recharge Zone,2070-2099,Fall,22.567145317219637
bcc-csm1-1-m,rcp85,Recharge Zone,1971-2000,Fall,20.040676371767333
bcc-csm1-1,rcp85,Recharge Zone,1971-2000,Fall,20.17633047668109
BNU-ESM,rcp85,Recharge Zone,1971-2000,Fall,20.1043711662133
CanESM2,rcp85,Recharge Zone,1971-2000,Fall,20.075345454256674
CCSM4,rcp85,Recharge Zone,1971-2000,Fall,20.147391041852796
CNRM-CM5,rcp85,Recharge Zone,1971-2000,Fall,20.081203599656916
CSIRO-Mk3-6-0,rcp85,Recharge Zone,1971-2000,Fall,19.906419069527956
GFDL-ESM2G,rcp85,Recharge Zone,1971-2000,Fall,20.02697282912726
GFDL-ESM2M,rcp85,Recharge Zone,1971-2000,Fall,19.930529298811408
HadGEM2-CC365,rcp85,Recharge Zone,1971-2000,Fall,19.86604044906721
HadGEM2-ES365,rcp85,Recharge Zone,1971-2000,Fall,19.78781401740345
inmcm4,rcp85,Recharge Zone,1971-2000,Fall,20.013627214499305
IPSL-CM5A-LR,rcp85,Recharge Zone,1971-2000,Fall,20.23196615629081
IPSL-CM5A-MR,rcp85,Recharge Zone,1971-2000,Fall,20.07154109061364
IPSL-CM5B-LR,rcp85,Recharge Zone,1971-2000,Fall,19.894575516055525
MIROC-ESM-CHEM,rcp85,Recharge Zone,1971-2000,Fall,20.113158537836618
MIROC-ESM,rcp85,Recharge Zone,1971-2000,Fall,19.871115286067493
MIROC5,rcp85,Recharge Zone,1971-2000,Fall,20.28561972425943
MRI-CGCM3,rcp85,Recharge Zone,1971-2000,Fall,19.872050295371164
NorESM1-M,rcp85,Recharge Zone,1971-2000,Fall,19.864675577557236
bcc-csm1-1-m,rcp85,Recharge Zone,1950-2005,Fall,20.022654149423328
bcc-csm1-1,rcp85,Recharge Zone,1950-2005,Fall,20.0070550730008
BNU-ESM,rcp85,Recharge Zone,1950-2005,Fall,20.006955949348164
CanESM2,rcp85,Recharge Zone,1950-2005,Fall,20.01252243677547
CCSM4,rcp85,Recharge Zone,1950-2005,Fall,19.954066423618507
CNRM-CM5,rcp85,Recharge Zone,1950-2005,Fall,19.978697741738568
CSIRO-Mk3-6-0,rcp85,Recharge Zone,1950-2005,Fall,19.993887036781054
GFDL-ESM2G,rcp85,Recharge Zone,1950-2005,Fall,19.929081223604076
GFDL-ESM2M,rcp85,Recharge Zone,1950-2005,Fall,19.95242021205544
HadGEM2-CC365,rcp85,Recharge Zone,1950-2005,Fall,20.023627249762065
HadGEM2-ES365,rcp85,Recharge Zone,1950-2005,Fall,20.013170791825875
inmcm4,rcp85,Recharge Zone,1950-2005,Fall,19.947862492836492
IPSL-CM5A-LR,rcp85,Recharge Zone,1950-2005,Fall,19.99627488328773
IPSL-CM5A-MR,rcp85,Recharge Zone,1950-2005,Fall,20.001518697544572
IPSL-CM5B-LR,rcp85,Recharge Zone,1950-2005,Fall,19.986241098453092
MIROC-ESM-CHEM,rcp85,Recharge Zone,1950-2005,Fall,19.96128000841245
MIROC-ESM,rcp85,Recharge Zone,1950-2005,Fall,19.96044220941486
MIROC5,rcp85,Recharge Zone,1950-2005,Fall,20.023584434674806
MRI-CGCM3,rcp85,Recharge Zone,1950-2005,Fall,19.9663935054814
NorESM1-M,rcp85,Recharge Zone,1950-2005,Fall,19.997460540237274
bcc-csm1-1-m,rcp85,Recharge Zone,2010-2039,Fall,21.12477881281135
bcc-csm1-1,rcp85,Recharge Zone,2010-2039,Fall,21.45675261519776
BNU-ESM,rcp85,Recharge Zone,2010-2039,Fall,22.13893338928715
CanESM2,rcp85,Recharge Zone,2010-2039,Fall,21.897897472573007
CCSM4,rcp85,Recharge Zone,2010-2039,Fall,21.319054002303726
CNRM-CM5,rcp85,Recharge Zone,2010-2039,Fall,20.524424791590878
CSIRO-Mk3-6-0,rcp85,Recharge Zone,2010-2039,Fall,21.549047438081697
GFDL-ESM2G,rcp85,Recharge Zone,2010-2039,Fall,21.648376108905456
GFDL-ESM2M,rcp85,Recharge Zone,2010-2039,Fall,21.006948366464503
HadGEM2-CC365,rcp85,Recharge Zone,2010-2039,Fall,22.449710190984312
HadGEM2-ES365,rcp85,Recharge Zone,2010-2039,Fall,22.41273304059372
inmcm4,rcp85,Recharge Zone,2010-2039,Fall,20.592183760542856
IPSL-CM5A-LR,rcp85,Recharge Zone,2010-2039,Fall,21.53501543558805
IPSL-CM5A-MR,rcp85,Recharge Zone,2010-2039,Fall,22.156857992130043
