macamodel,rcp,zone,period,annual mean T(oC)
GFDL-ESM2M,rcp45,Contributing Zone,2040-2069,20.175432419879336
HadGEM2-CC365,rcp45,Contributing Zone,2040-2069,21.200511157372226
HadGEM2-ES365,rcp45,Contributing Zone,2040-2069,21.312079395269393
inmcm4,rcp45,Contributing Zone,2040-2069,19.592178675573013
IPSL-CM5A-LR,rcp45,Contributing Zone,2040-2069,21.228889916672735
IPSL-CM5A-MR,rcp45,Contributing Zone,2040-2069,21.538704161470644
IPSL-CM5B-LR,rcp45,Contributing Zone,2040-2069,20.10927602950268
MIROC-ESM-CHEM,rcp45,Contributing Zone,2040-2069,21.22088534323648
MIROC-ESM,rcp45,Contributing Zone,2040-2069,20.932678589451886
MIROC5,rcp45,Contributing Zone,2040-2069,21.14630495647214
MRI-CGCM3,rcp45,Contributing Zone,2040-2069,19.75830858471765
NorESM1-M,rcp45,Contributing Zone,2040-2069,20.99677506666708
bcc-csm1-1-m,rcp85,Contributing Zone,2040-2069,21.00864813370684
bcc-csm1-1,rcp85,Contributing Zone,2040-2069,21.183823247012647
BNU-ESM,rcp85,Contributing Zone,2040-2069,22.13854251804445
CanESM2,rcp85,Contributing Zone,2040-2069,21.991110216085033
CCSM4,rcp85,Contributing Zone,2040-2069,21.235606148343443
CNRM-CM5,rcp85,Contributing Zone,2040-2069,20.95898045735606
CSIRO-Mk3-6-0,rcp85,Contributing Zone,2040-2069,21.280860439140554
GFDL-ESM2G,rcp85,Contributing Zone,2040-2069,21.37154638725998
GFDL-ESM2M,rcp85,Contributing Zone,2040-2069,20.729140749206653
HadGEM2-CC365,rcp85,Contributing Zone,2040-2069,21.859919830894057
HadGEM2-ES365,rcp85,Contributing Zone,2040-2069,22.136371201360184
inmcm4,rcp85,Contributing Zone,2040-2069,20.38867307286876
IPSL-CM5A-LR,rcp85,Contributing Zone,2040-2069,21.804835182194314
IPSL-CM5A-MR,rcp85,Contributing Zone,2040-2069,22.3241836084178
IPSL-CM5B-LR,rcp85,Contributing Zone,2040-2069,20.944213379928748
MIROC-ESM-CHEM,rcp85,Contributing Zone,2040-2069,21.895621017350443
MIROC-ESM,rcp85,Contributing Zone,2040-2069,21.4130739927522
MIROC5,rcp85,Contributing Zone,2040-2069,21.668260031105394
MRI-CGCM3,rcp85,Contributing Zone,2040-2069,20.629836664637104
NorESM1-M,rcp85,Contributing Zone,2040-2069,21.616500419042122
bcc-csm1-1-m,rcp45,Recharge Zone,2070-2099,21.427336872473646
bcc-csm1-1,rcp45,Recharge Zone,2070-2099,21.566136211649994
BNU-ESM,rcp45,Recharge Zone,2070-2099,22.94849698985603
CanESM2,rcp45,Recharge Zone,2070-2099,22.815367856143652
CCSM4,rcp45,Recharge Zone,2070-2099,22.039988983664465
CNRM-CM5,rcp45,Recharge Zone,2070-2099,21.741678602101388
CSIRO-Mk3-6-0,rcp45,Recharge Zone,2070-2099,22.51238974371119
GFDL-ESM2G,rcp45,Recharge Zone,2070-2099,21.852853872192625
GFDL-ESM2M,rcp45,Recharge Zone,2070-2099,21.359963980099312
HadGEM2-CC365,rcp45,Recharge Zone,2070-2099,22.862033409235412
HadGEM2-ES365,rcp45,Recharge Zone,2070-2099,22.671636889258235
inmcm4,rcp45,Recharge Zone,2070-2099,20.982293608445225
IPSL-CM5A-LR,rcp45,Recharge Zone,2070-2099,22.732678142386842
IPSL-CM5A-MR,rcp45,Recharge Zone,2070-2099,23.12133293628063
IPSL-CM5B-LR,rcp45,Recharge Zone,2070-2099,21.69781212888949
MIROC-ESM-CHEM,rcp45,Recharge Zone,2070-2099,22.853346527482696
MIROC-ESM,rcp45,Recharge Zone,2070-2099,22.72301424360067
MIROC5,rcp45,Recharge Zone,2070-2099,22.548299639077495
MRI-CGCM3,rcp45,Recharge Zone,2070-2099,21.062854886024137
NorESM1-M,rcp45,Recharge Zone,2070-2099,22.302071189727577
bcc-csm1-1-m,rcp85,Recharge Zone,2070-2099,23.263238362906993
bcc-csm1-1,rcp85,Recharge Zone,2070-2099,23.73221398601284
BNU-ESM,rcp85,Recharge Zone,2070-2099,24.97124826286232
CanESM2,rcp85,Recharge Zone,2070-2099,24.894071255837655
CCSM4,rcp85,Recharge Zone,2070-2099,23.784092754284607
CNRM-CM5,rcp85,Recharge Zone,2070-2099,23.641843718775508
CSIRO-Mk3-6-0,rcp85,Recharge Zone,2070-2099,24.723299620060825
GFDL-ESM2G,rcp85,Recharge Zone,2070-2099,23.707304823846552
GFDL-ESM2M,rcp85,Recharge Zone,2070-2099,23.487384291231773
HadGEM2-CC365,rcp85,Recharge Zone,2070-2099,25.093134582093477
HadGEM2-ES365,rcp85,Recharge Zone,2070-2099,24.819259577229705
inmcm4,rcp85,Recharge Zone,2070-2099,23.22440166772943
IPSL-CM5A-LR,rcp85,Recharge Zone,2070-2099,25.66287920041401
IPSL-CM5A-MR,rcp85,Recharge Zone,2070-2099,26.09223253956922
