,Winter,Spring,Summer,Fall,period,rcp,zone
IPSL-CM5A-LR,3.043478778439628,6.95992775849827,7.321513946331594,8.769032654897861,2040-2069,rcp85,Recharge Zone
IPSL-CM5A-MR,3.0164239889054247,4.728766215468242,7.365375360115338,6.19186189156445,2040-2069,rcp85,Recharge Zone
IPSL-CM5B-LR,4.216295341969867,7.745864127967612,9.05583349905552,10.260216745248888,2040-2069,rcp85,Recharge Zone
MIROC-ESM-CHEM,3.9856559179243427,7.891520327917769,7.950877266009259,7.544894181585364,2040-2069,rcp85,Recharge Zone
MIROC-ESM,4.768932198034433,7.655393834829411,8.414708700432268,8.661020367268144,2040-2069,rcp85,Recharge Zone
MIROC5,3.9444976822191995,6.999537883278601,9.495535564081491,6.941946884002615,2040-2069,rcp85,Recharge Zone
MRI-CGCM3,3.249901008432372,7.685936224824547,10.138189595045091,8.366056477687913,2040-2069,rcp85,Recharge Zone
NorESM1-M,3.653976955027842,8.069796944973143,9.043475277841063,7.142286940980183,2040-2069,rcp85,Recharge Zone
bcc-csm1-1-m,4.414022118348906,7.514514688708273,6.740075800233555,9.56626106473572,2070-2099,rcp85,Recharge Zone
bcc-csm1-1,4.336691479733933,5.3376153403042,5.461537530180286,12.510587740911253,2070-2099,rcp85,Recharge Zone
BNU-ESM,4.533640665375419,6.770354193958869,8.084535642050078,5.839102092397701,2070-2099,rcp85,Recharge Zone
CanESM2,3.5058392377941345,6.84930683809674,7.950631477970551,10.622272735970006,2070-2099,rcp85,Recharge Zone
CCSM4,3.2313817421324247,8.218846265869251,8.206585480966917,8.588776510528845,2070-2099,rcp85,Recharge Zone
CNRM-CM5,4.025529932488469,7.257680123428077,9.771243127410289,7.079228043940646,2070-2099,rcp85,Recharge Zone
CSIRO-Mk3-6-0,3.131985086479997,7.190096863929905,10.102756697553778,8.646514674046422,2070-2099,rcp85,Recharge Zone
GFDL-ESM2G,4.090614719142075,6.400299929459106,6.32004875456148,8.68629657621778,2070-2099,rcp85,Recharge Zone
GFDL-ESM2M,3.1505158003334053,6.970433192484683,8.189267967452665,6.588845887631295,2070-2099,rcp85,Recharge Zone
HadGEM2-CC365,4.245890509171723,7.608588328181209,6.415267124632375,8.917535437348224,2070-2099,rcp85,Recharge Zone
HadGEM2-ES365,4.179791688984133,8.809784113690434,6.529199082152639,10.244854660656847,2070-2099,rcp85,Recharge Zone
inmcm4,3.0542843113040226,6.0207997639362185,12.260481828608357,6.714141649575244,2070-2099,rcp85,Recharge Zone
IPSL-CM5A-LR,2.3079696513534134,4.914271050243397,6.257404825794345,7.1683194852998815,2070-2099,rcp85,Recharge Zone
IPSL-CM5A-MR,1.704822111204762,4.135946338710981,7.082262479927445,6.273534890078638,2070-2099,rcp85,Recharge Zone
IPSL-CM5B-LR,3.626146244566531,6.839850752509605,8.511730624289857,10.883353240163911,2070-2099,rcp85,Recharge Zone
MIROC-ESM-CHEM,3.5531603681550545,6.556927733153424,8.437391835476431,7.6185178028708025,2070-2099,rcp85,Recharge Zone
MIROC-ESM,5.393091884414218,6.210682224831263,7.5053530849030805,8.988800573032398,2070-2099,rcp85,Recharge Zone
MIROC5,3.5589256999957026,6.424342082395426,9.30413198036053,5.773229054879646,2070-2099,rcp85,Recharge Zone
MRI-CGCM3,3.0270280420382325,7.235086076241093,7.1432254919584315,8.913685590899563,2070-2099,rcp85,Recharge Zone
NorESM1-M,3.2684589374344015,7.283678145175125,9.13857945522125,6.091199379867399,2070-2099,rcp85,Recharge Zone
bcc-csm1-1-m,4.383408537658836,8.437558753624154,9.798027331852158,8.88803286002004,1971-2000,rcp45,Contributing Zone
bcc-csm1-1,4.747754113985529,7.756956834102266,9.108292317334547,8.580746039512908,1971-2000,rcp45,Contributing Zone
BNU-ESM,4.511296395534841,8.53001155813884,8.039526796153392,8.452870402510046,1971-2000,rcp45,Contributing Zone
CanESM2,4.270364072873348,8.215890281478101,8.928456563042921,8.374632904843637,1971-2000,rcp45,Contributing Zone
CCSM4,4.269865874501526,8.725400963759052,9.156324181610886,8.559419332012915,1971-2000,rcp45,Contributing Zone
CNRM-CM5,4.52601166260831,8.085967537055037,8.79593673486686,7.958265408197396,1971-2000,rcp45,Contributing Zone
CSIRO-Mk3-6-0,4.538583120510754,7.7118264369402425,8.999903938034496,9.401122761946105,1971-2000,rcp45,Contributing Zone
GFDL-ESM2G,4.0801870345156805,7.689226234213908,8.778420132286161,8.990719798556972,1971-2000,rcp45,Contributing Zone
GFDL-ESM2M,4.299889621209374,8.294242168039121,9.372122631591134,9.037876806501249,1971-2000,rcp45,Contributing Zone
HadGEM2-CC365,4.542095323988233,8.254849660175736,9.412318407736866,8.039593506067517,1971-2000,rcp45,Contributing Zone
HadGEM2-ES365,4.7976846502820925,7.705051425190036,9.628361785717567,8.98264200433892,1971-2000,rcp45,Contributing Zone
inmcm4,4.771545201325091,7.92479950304962,9.028880579907085,8.89431521505036,1971-2000,rcp45,Contributing Zone
IPSL-CM5A-LR,4.410066785619101,7.704910443685083,8.786124893779037,8.502921330426949,1971-2000,rcp45,Contributing Zone
IPSL-CM5A-MR,4.276661061669448,7.1283862270656115,9.16095609986516,8.41683139125204,1971-2000,rcp45,Contributing Zone
