macamodel,rcp,zone,period,annual mean P (in)
HadGEM2-CC365,rcp45,Recharge Zone,2040-2069,29.133849656375244
HadGEM2-ES365,rcp45,Recharge Zone,2040-2069,26.79713986543829
inmcm4,rcp45,Recharge Zone,2040-2069,30.569956083202467
IPSL-CM5A-LR,rcp45,Recharge Zone,2040-2069,23.3229228064487
IPSL-CM5A-MR,rcp45,Recharge Zone,2040-2069,21.63197787725878
IPSL-CM5B-LR,rcp45,Recharge Zone,2040-2069,32.10544540084125
MIROC-ESM-CHEM,rcp45,Recharge Zone,2040-2069,28.103081695779416
MIROC-ESM,rcp45,Recharge Zone,2040-2069,31.39845389746432
MIROC5,rcp45,Recharge Zone,2040-2069,28.15955682164173
MRI-CGCM3,rcp45,Recharge Zone,2040-2069,31.925144905787732
NorESM1-M,rcp45,Recharge Zone,2040-2069,26.160953331463
bcc-csm1-1-m,rcp85,Recharge Zone,2040-2069,28.238496928459757
bcc-csm1-1,rcp85,Recharge Zone,2040-2069,28.38086774088878
BNU-ESM,rcp85,Recharge Zone,2040-2069,26.344697866176272
CanESM2,rcp85,Recharge Zone,2040-2069,28.698630114999716
CCSM4,rcp85,Recharge Zone,2040-2069,27.753353634200405
CNRM-CM5,rcp85,Recharge Zone,2040-2069,27.423206293885464
CSIRO-Mk3-6-0,rcp85,Recharge Zone,2040-2069,29.28704936618258
GFDL-ESM2G,rcp85,Recharge Zone,2040-2069,25.98063358891508
GFDL-ESM2M,rcp85,Recharge Zone,2040-2069,29.324712676140184
HadGEM2-CC365,rcp85,Recharge Zone,2040-2069,31.238468140721416
HadGEM2-ES365,rcp85,Recharge Zone,2040-2069,26.892709711639824
inmcm4,rcp85,Recharge Zone,2040-2069,28.237851238919358
IPSL-CM5A-LR,rcp85,Recharge Zone,2040-2069,26.09395313816736
IPSL-CM5A-MR,rcp85,Recharge Zone,2040-2069,21.302427456053458
IPSL-CM5B-LR,rcp85,Recharge Zone,2040-2069,31.278209714241896
MIROC-ESM-CHEM,rcp85,Recharge Zone,2040-2069,27.37294769343673
MIROC-ESM,rcp85,Recharge Zone,2040-2069,29.50005510056426
MIROC5,rcp85,Recharge Zone,2040-2069,27.381518013581896
MRI-CGCM3,rcp85,Recharge Zone,2040-2069,29.44008330598993
NorESM1-M,rcp85,Recharge Zone,2040-2069,27.909536118822228
bcc-csm1-1-m,rcp45,Contributing Zone,2040-2069,30.775271315017118
bcc-csm1-1,rcp45,Contributing Zone,2040-2069,29.92797291926127
BNU-ESM,rcp45,Contributing Zone,2040-2069,29.16155209740429
CanESM2,rcp45,Contributing Zone,2040-2069,28.719971772573896
CCSM4,rcp45,Contributing Zone,2040-2069,29.614795570182796
CNRM-CM5,rcp45,Contributing Zone,2040-2069,31.237086663805503
CSIRO-Mk3-6-0,rcp45,Contributing Zone,2040-2069,35.160188492600255
GFDL-ESM2G,rcp45,Contributing Zone,2040-2069,26.615429616537774
GFDL-ESM2M,rcp45,Contributing Zone,2040-2069,32.237387452858776
HadGEM2-CC365,rcp45,Contributing Zone,2040-2069,30.546373137255575
HadGEM2-ES365,rcp45,Contributing Zone,2040-2069,28.10590292192666
inmcm4,rcp45,Contributing Zone,2040-2069,31.86540257431015
IPSL-CM5A-LR,rcp45,Contributing Zone,2040-2069,24.702988939597624
IPSL-CM5A-MR,rcp45,Contributing Zone,2040-2069,22.659136364001004
IPSL-CM5B-LR,rcp45,Contributing Zone,2040-2069,33.67522126563153
MIROC-ESM-CHEM,rcp45,Contributing Zone,2040-2069,29.40797101692009
MIROC-ESM,rcp45,Contributing Zone,2040-2069,33.64716891920598
MIROC5,rcp45,Contributing Zone,2040-2069,29.994600611431725
MRI-CGCM3,rcp45,Contributing Zone,2040-2069,33.601572672420005
NorESM1-M,rcp45,Contributing Zone,2040-2069,27.460136254346317
bcc-csm1-1-m,rcp85,Contributing Zone,2040-2069,29.81373423639551
bcc-csm1-1,rcp85,Contributing Zone,2040-2069,30.199560246414734
BNU-ESM,rcp85,Contributing Zone,2040-2069,27.988357007372674
CanESM2,rcp85,Contributing Zone,2040-2069,30.410655814944796
CCSM4,rcp85,Contributing Zone,2040-2069,29.20904666364798
CNRM-CM5,rcp85,Contributing Zone,2040-2069,28.875086765610657
CSIRO-Mk3-6-0,rcp85,Contributing Zone,2040-2069,31.173944157163177
GFDL-ESM2G,rcp85,Contributing Zone,2040-2069,27.601122476348095
GFDL-ESM2M,rcp85,Contributing Zone,2040-2069,30.34171579039275
HadGEM2-CC365,rcp85,Contributing Zone,2040-2069,32.68651000925013
HadGEM2-ES365,rcp85,Contributing Zone,2040-2069,27.935588153621662
inmcm4,rcp85,Contributing Zone,2040-2069,29.39942851419718
IPSL-CM5A-LR,rcp85,Contributing Zone,2040-2069,27.98144092107108
IPSL-CM5A-MR,rcp85,Contributing Zone,2040-2069,22.82062595349611
IPSL-CM5B-LR,rcp85,Contributing Zone,2040-2069,33.34544735115302
MIROC-ESM-CHEM,rcp85,Contributing Zone,2040-2069,29.249363965125728
MIROC-ESM,rcp85,Contributing Zone,2040-2069,31.702108122648497
MIROC5,rcp85,Contributing Zone,2040-2069,28.98167692141971
MRI-CGCM3,rcp85,Contributing Zone,2040-2069,31.04763233477699
NorESM1-M,rcp85,Contributing Zone,2040-2069,29.34228288830108
bcc-csm1-1-m,rcp45,Recharge Zone,2070-2099,26.480358560747366
bcc-csm1-1,rcp45,Recharge Zone,2070-2099,26.128741724790856
BNU-ESM,rcp45,Recharge Zone,2070-2099,24.672045921115515
CanESM2,rcp45,Recharge Zone,2070-2099,29.380514858200463
CCSM4,rcp45,Recharge Zone,2070-2099,28.4300890696858
CNRM-CM5,rcp45,Recharge Zone,2070-2099,29.613317786260698
CSIRO-Mk3-6-0,rcp45,Recharge Zone,2070-2099,31.585675851501055
GFDL-ESM2G,rcp45,Recharge Zone,2070-2099,25.28514796333183
GFDL-ESM2M,rcp45,Recharge Zone,2070-2099,30.43629903377754
HadGEM2-CC365,rcp45,Recharge Zone,2070-2099,26.84345153323243
HadGEM2-ES365,rcp45,Recharge Zone,2070-2099,31.67298297124328
inmcm4,rcp45,Recharge Zone,2070-2099,32.20008592925782
IPSL-CM5A-LR,rcp45,Recharge Zone,2070-2099,24.660118844371716
IPSL-CM5A-MR,rcp45,Recharge Zone,2070-2099,22.19461165588132
IPSL-CM5B-LR,rcp45,Recharge Zone,2070-2099,32.26738626043476
MIROC-ESM-CHEM,rcp45,Recharge Zone,2070-2099,28.54756213943894
MIROC-ESM,rcp45,Recharge Zone,2070-2099,30.288842270419853
MIROC5,rcp45,Recharge Zone,2070-2099,31.24878537169416
MRI-CGCM3,rcp45,Recharge Zone,2070-2099,31.490615690282336
NorESM1-M,rcp45,Recharge Zone,2070-2099,28.610374543393625
bcc-csm1-1-m,rcp85,Recharge Zone,2070-2099,28.234873672026456
bcc-csm1-1,rcp85,Recharge Zone,2070-2099,27.646432091129668
BNU-ESM,rcp85,Recharge Zone,2070-2099,25.22763259378207
CanESM2,rcp85,Recharge Zone,2070-2099,28.92805028983143
CCSM4,rcp85,Recharge Zone,2070-2099,28.245589999497433
CNRM-CM5,rcp85,Recharge Zone,2070-2099,28.133681227267477
CSIRO-Mk3-6-0,rcp85,Recharge Zone,2070-2099,29.071353322010093
GFDL-ESM2G,rcp85,Recharge Zone,2070-2099,25.497259979380438
GFDL-ESM2M,rcp85,Recharge Zone,2070-2099,24.89906284790205
HadGEM2-CC365,rcp85,Recharge Zone,2070-2099,27.187281399333525
HadGEM2-ES365,rcp85,Recharge Zone,2070-2099,29.763629545484054
inmcm4,rcp85,Recharge Zone,2070-2099,28.049707553423847
IPSL-CM5A-LR,rcp85,Recharge Zone,2070-2099,20.647965012691035
IPSL-CM5A-MR,rcp85,Recharge Zone,2070-2099,19.19656581992183
IPSL-CM5B-LR,rcp85,Recharge Zone,2070-2099,29.861080861529906
MIROC-ESM-CHEM,rcp85,Recharge Zone,2070-2099,26.16599773965571
MIROC-ESM,rcp85,Recharge Zone,2070-2099,28.09792776718097
MIROC5,rcp85,Recharge Zone,2070-2099,25.060628817631308
MRI-CGCM3,rcp85,Recharge Zone,2070-2099,26.319025201137315
NorESM1-M,rcp85,Recharge Zone,2070-2099,25.781915917698168
bcc-csm1-1-m,rcp45,Contributing Zone,2070-2099,27.846998815945664
bcc-csm1-1,rcp45,Contributing Zone,2070-2099,27.35851975901669
BNU-ESM,rcp45,Contributing Zone,2070-2099,26.12816285303789
CanESM2,rcp45,Contributing Zone,2070-2099,30.701636145428935
CCSM4,rcp45,Contributing Zone,2070-2099,29.614856670916478
CNRM-CM5,rcp45,Contributing Zone,2070-2099,30.737137666987255
CSIRO-Mk3-6-0,rcp45,Contributing Zone,2070-2099,33.50179311564882
GFDL-ESM2G,rcp45,Contributing Zone,2070-2099,26.664185916194093
GFDL-ESM2M,rcp45,Contributing Zone,2070-2099,32.49222322861476
HadGEM2-CC365,rcp45,Contributing Zone,2070-2099,28.2458225353215
HadGEM2-ES365,rcp45,Contributing Zone,2070-2099,33.628348637229166
inmcm4,rcp45,Contributing Zone,2070-2099,33.56062960457057
