macamodel,rcp,zone,period,season,seasonal mean P (in)
CNRM-CM5,rcp85,Recharge Zone,2040-2069,Winter,4.126278361573592
CSIRO-Mk3-6-0,rcp85,Recharge Zone,2040-2069,Winter,3.779945338947159
GFDL-ESM2G,rcp85,Recharge Zone,2040-2069,Winter,3.6496230277689223
GFDL-ESM2M,rcp85,Recharge Zone,2040-2069,Winter,4.3572958860117295
HadGEM2-CC365,rcp85,Recharge Zone,2040-2069,Winter,4.169581324649622
HadGEM2-ES365,rcp85,Recharge Zone,2040-2069,Winter,4.029078696201018
inmcm4,rcp85,Recharge Zone,2040-2069,Winter,3.974602368591139
IPSL-CM5A-LR,rcp85,Recharge Zone,2040-2069,Winter,3.043478778439628
IPSL-CM5A-MR,rcp85,Recharge Zone,2040-2069,Winter,3.0164239889054247
IPSL-CM5B-LR,rcp85,Recharge Zone,2040-2069,Winter,4.216295341969867
MIROC-ESM-CHEM,rcp85,Recharge Zone,2040-2069,Winter,3.9856559179243427
MIROC-ESM,rcp85,Recharge Zone,2040-2069,Winter,4.768932198034433
MIROC5,rcp85,Recharge Zone,2040-2069,Winter,3.9444976822191995
MRI-CGCM3,rcp85,Recharge Zone,2040-2069,Winter,3.249901008432372
NorESM1-M,rcp85,Recharge Zone,2040-2069,Winter,3.653976955027842
bcc-csm1-1-m,rcp85,Recharge Zone,2070-2099,Winter,4.414022118348906
bcc-csm1-1,rcp85,Recharge Zone,2070-2099,Winter,4.336691479733933
BNU-ESM,rcp85,Recharge Zone,2070-2099,Winter,4.533640665375419
CanESM2,rcp85,Recharge Zone,2070-2099,Winter,3.5058392377941345
CCSM4,rcp85,Recharge Zone,2070-2099,Winter,3.2313817421324247
CNRM-CM5,rcp85,Recharge Zone,2070-2099,Winter,4.025529932488469
CSIRO-Mk3-6-0,rcp85,Recharge Zone,2070-2099,Winter,3.131985086479997
GFDL-ESM2G,rcp85,Recharge Zone,2070-2099,Winter,4.090614719142075
GFDL-ESM2M,rcp85,Recharge Zone,2070-2099,Winter,3.1505158003334053
HadGEM2-CC365,rcp85,Recharge Zone,2070-2099,Winter,4.245890509171723
HadGEM2-ES365,rcp85,Recharge Zone,2070-2099,Winter,4.179791688984133
inmcm4,rcp85,Recharge Zone,2070-2099,Winter,3.0542843113040226
IPSL-CM5A-LR,rcp85,Recharge Zone,2070-2099,Winter,2.3079696513534134
IPSL-CM5A-MR,rcp85,Recharge Zone,2070-2099,Winter,1.704822111204762
IPSL-CM5B-LR,rcp85,Recharge Zone,2070-2099,Winter,3.626146244566531
MIROC-ESM-CHEM,rcp85,Recharge Zone,2070-2099,Winter,3.5531603681550545
MIROC-ESM,rcp85,Recharge Zone,2070-2099,Winter,5.393091884414218
MIROC5,rcp85,Recharge Zone,2070-2099,Winter,3.5589256999957026
MRI-CGCM3,rcp85,Recharge Zone,2070-2099,Winter,3.0270280420382325
NorESM1-M,rcp85,Recharge Zone,2070-2099,Winter,3.2684589374344015
bcc-csm1-1-m,rcp45,Contributing Zone,1971-2000,Winter,4.383408537658836
bcc-csm1-1,rcp45,Contributing Zone,1971-2000,Winter,4.747754113985529
BNU-ESM,rcp45,Contributing Zone,1971-2000,Winter,4.511296395534841
CanESM2,rcp45,Contributing Zone,1971-2000,Winter,4.270364072873348
CCSM4,rcp45,Contributing Zone,1971-2000,Winter,4.269865874501526
CNRM-CM5,rcp45,Contributing Zone,1971-2000,Winter,4.52601166260831
CSIRO-Mk3-6-0,rcp45,Contributing Zone,1971-2000,Winter,4.538583120510754
GFDL-ESM2G,rcp45,Contributing Zone,1971-2000,Winter,4.0801870345156805
GFDL-ESM2M,rcp45,Contributing Zone,1971-2000,Winter,4.299889621209374
HadGEM2-CC365,rcp45,Contributing Zone,1971-2000,Winter,4.542095323988233
HadGEM2-ES365,rcp45,Contributing Zone,1971-2000,Winter,4.7976846502820925
inmcm4,rcp45,Contributing Zone,1971-2000,Winter,4.771545201325091
IPSL-CM5A-LR,rcp45,Contributing Zone,1971-2000,Winter,4.410066785619101
IPSL-CM5A-MR,rcp45,Contributing Zone,1971-2000,Winter,4.276661061669448
IPSL-CM5B-LR,rcp45,Contributing Zone,1971-2000,Winter,4.516651355596741
MIROC-ESM-CHEM,rcp45,Contributing Zone,1971-2000,Winter,4.276516742263649
MIROC-ESM,rcp45,Contributing Zone,1971-2000,Winter,4.23935639796256
MIROC5,rcp45,Contributing Zone,1971-2000,Winter,4.02913200788031
MRI-CGCM3,rcp45,Contributing Zone,1971-2000,Winter,4.486420802830169
NorESM1-M,rcp45,Contributing Zone,1971-2000,Winter,4.659904288390277
bcc-csm1-1-m,rcp45,Contributing Zone,1950-2005,Winter,4.336688908331394
bcc-csm1-1,rcp45,Contributing Zone,1950-2005,Winter,4.3810516556950665
BNU-ESM,rcp45,Contributing Zone,1950-2005,Winter,4.398431561872767
CanESM2,rcp45,Contributing Zone,1950-2005,Winter,4.338503973266959
CCSM4,rcp45,Contributing Zone,1950-2005,Winter,4.302129957514248
CNRM-CM5,rcp45,Contributing Zone,1950-2005,Winter,4.365725545885191
CSIRO-Mk3-6-0,rcp45,Contributing Zone,1950-2005,Winter,4.3518290377748015
GFDL-ESM2G,rcp45,Contributing Zone,1950-2005,Winter,4.291862483701287
GFDL-ESM2M,rcp45,Contributing Zone,1950-2005,Winter,4.335217182193985
HadGEM2-CC365,rcp45,Contributing Zone,1950-2005,Winter,4.332591606805146
HadGEM2-ES365,rcp45,Contributing Zone,1950-2005,Winter,4.262537129804622
inmcm4,rcp45,Contributing Zone,1950-2005,Winter,4.402451275158427
IPSL-CM5A-LR,rcp45,Contributing Zone,1950-2005,Winter,4.40982976856993
